County,State,For Sale,Sold in 1mo,Sold in 3mo
Hampshire County,WV,,,
Mineral County,CO,,,
Pinal County,AZ,,,
Teller County,CO,,,
Jackson,NC,,,
Park,CO,,,
Maricopa County,AZ,,,
Coconino County,AZ,,,
Costilla County,CO,,,
Deschutes County,OR,,,
Fremont County,CO,,,
Jackson County,GA,,,
Las Animas,CO,,,
Saguache County,CO,,,
White,GA,,,
Tyler,TX,,,
Yakima County,WA,,,
Douglas County,WA,,,
Archuleta County,CO,,,
Haywood,NC,,,
Yavapai County,AZ,,,
Hidalgo County,TX,,,
Duchesne County,UT,,,
Hardin,TX,,,
Chambers,TX,,,
San Bernardino,CA,,,
Mitchell County,NC,,,
Burnet County,TX,,,
Rutherford,NC,,,
Jefferson,TX,,,
Apache County,AZ,,,
Ferry County,WA,,,
Blanco County,TX,,,
Orange,TX,,,
Conejos County,CO,,,
